brand,product_id,product_name,category,subcategory,domain,discounted_price,actual_price,discount_percentage,rating,rating_count,sales_proxy,rating_type,price_band
Wayona,B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,399.0,1099.0,64.0,4.2,24269.0,9683331.0,Great,Under 1000
Ambrane,B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,199.0,349.0,43.0,4.0,43994.0,8754806.0,Good,Under 1000
Sounce,B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,199.0,1899.0,90.0,3.9,7928.0,1577672.0,Good,Under 1000
Boat,B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,329.0,699.0,53.0,4.2,94363.0,31045427.0,Great,Under 1000
Portronics,B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,154.0,399.0,61.0,4.2,16905.0,2603370.0,Great,Under 1000
Ptron,B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,149.0,1000.0,85.0,3.9,24871.0,3705779.0,Good,Under 1000
Boat,B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,176.63,499.0,65.0,4.1,15188.0,2682656.44,Great,Under 1000
Mi,B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories,Accessories&Peripherals,Cables&Accessories,229.0,299.0,23.0,4.3,30411.0,6964119.0,Great,Under 1000
Tp-Link,B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories,NetworkingDevices,NetworkAdapters,499.0,999.0,50.0,4.2,179691.0,89665809.0,Great,Under 1000
Ambrane,B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,199.0,299.0,33.0,4.0,43994.0,8754806.0,Good,Under 1000
Portronics,B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),Computers&Accessories,Accessories&Peripherals,Cables&Accessories,154.0,339.0,55.0,4.3,13391.0,2062214.0,Great,Under 1000
Boat,B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),Computers&Accessories,Accessories&Peripherals,Cables&Accessories,299.0,799.0,63.0,4.2,94363.0,28214537.0,Great,Under 1000
Amazonbasics,B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,"HomeTheater,TV&Video",Accessories,219.0,700.0,69.0,4.4,426973.0,93507087.0,Great,Under 1000
Portronics,B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,350.0,899.0,61.0,4.2,2262.0,791700.0,Great,Under 1000
Portronics,B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),Computers&Accessories,Accessories&Peripherals,Cables&Accessories,159.0,399.0,60.0,4.1,4768.0,758112.0,Great,Under 1000
Mi,B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),Computers&Accessories,Accessories&Peripherals,Cables&Accessories,349.0,399.0,13.0,4.4,18757.0,6546193.0,Great,Under 1000
Mi,B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),Electronics,"HomeTheater,TV&Video",Televisions,13999.0,24999.0,44.0,4.2,32840.0,459727160.0,Great,Premium
Ambrane,B082LSVT4B,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,249.0,399.0,38.0,4.0,43994.0,10954506.0,Good,Under 1000
